"","x"
"CELL1527_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL1970_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL182_N2_3T26-2-210413","Glu_3_CA_FREM1"
"CELL1439_N1_3T26-2-210413","GABA_0_Sst_TRHDE"
"CELL1333_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL435_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL379_N2_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL967_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL1780_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL2133_N1_3T26-2-210413","astrocyte_7_astrocyte_astrocyte"
"CELL576_N1_3T26-2-210413","Glu_17_CA_CPLX3"
"CELL1194_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL674_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL744_N1_3T26-2-210413","Glu_13_CA_NDST4"
"CELL343_N2_3T26-2-210413","Glu_18_CA_NPNT"
"CELL698_N1_3T26-2-210413","vas_fib_15_vas_fib_vas_fib"
"CELL223_N3_3T26-2-210413","GABA_3_Pvalb_PDGFC"
"CELL2051_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL123_N2_3T26-2-210413","Glu_0_Dg_PCDH15"
"CELL1512_N1_3T26-2-210413","vas_fib_15_vas_fib_vas_fib"
"CELL323_N2_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL519_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL2075_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL722_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL1150_N1_3T26-2-210413","Glu_9_CA_AADAT"
"CELL476_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL1357_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1199_N1_3T26-2-210413","Glu_5_CA_SEMA6D"
"CELL802_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL1149_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL1544_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL566_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL798_N1_3T26-2-210413","Glu_9_CA_AADAT"
"CELL763_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL1662_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL500_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1500_N1_3T26-2-210413","Glu_9_CA_AADAT"
"CELL1321_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1858_N1_3T26-2-210413","GABA_8_Lamp5_NMBR"
"CELL550_N1_3T26-2-210413","Glu_10_CA_ALK"
"CELL1219_N1_3T26-2-210413","vas_fib_15_vas_fib_vas_fib"
"CELL1457_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL502_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL74_N2_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL922_N1_3T26-2-210413","Glu_10_CA_ALK"
"CELL1222_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL1137_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1423_N1_3T26-2-210413","Glu_9_CA_AADAT"
"CELL965_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL283_N3_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL57_N2_3T26-2-210413","GABA_2_Pvalb_PLCL1"
"CELL794_N1_3T26-2-210413","GABA_0_Sst_TRHDE"
"CELL1134_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL224_N2_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL734_N1_3T26-2-210413","GABA_1_Lamp5_NWD2"
"CELL1763_N1_3T26-2-210413","GABA_2_Pvalb_PLCL1"
"CELL863_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL542_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1305_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL152_N3_3T26-2-210413","Glu_5_CA_SEMA6D"
"CELL589_N1_3T26-2-210413","Glu_19_CA_HHIP"
"CELL619_N1_3T26-2-210413","Glu_16_CA_TRPC3"
"CELL591_N1_3T26-2-210413","Glu_9_CA_AADAT"
"CELL409_N1_3T26-2-210413","Glu_17_CA_CPLX3"
"CELL1514_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1722_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL254_N3_3T26-2-210413","Glu_5_CA_SEMA6D"
"CELL1020_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL522_N1_3T26-2-210413","Glu_19_CA_HHIP"
"CELL1466_N1_3T26-2-210413","Glu_3_CA_FREM1"
"CELL879_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL56_N4_3T26-2-210413","Glu_9_CA_AADAT"
"CELL582_N1_3T26-2-210413","GABA_3_Pvalb_PDGFC"
"CELL402_N1_3T26-2-210413","GABA_3_Pvalb_PDGFC"
"CELL857_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL912_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL1444_N1_3T26-2-210413","Glu_5_CA_SEMA6D"
"CELL51_N2_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL286_N2_3T26-2-210413","Glu_7_CA_PRKCG"
"CELL314_N2_3T26-2-210413","Glu_5_CA_SEMA6D"
"CELL2043_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL1330_N1_3T26-2-210413","GABA_2_Pvalb_PLCL1"
"CELL1107_N1_3T26-2-210413","GABA_11_Pvalb_TRDN"
"CELL583_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL1009_N1_3T26-2-210413","Glu_9_CA_AADAT"
"CELL629_N1_3T26-2-210413","Glu_16_CA_TRPC3"
"CELL1286_N1_3T26-2-210413","Glu_16_CA_TRPC3"
"CELL1743_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL483_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL337_N2_3T26-2-210413","Glu_17_CA_CPLX3"
"CELL1497_N1_3T26-2-210413","Glu_5_CA_SEMA6D"
"CELL836_N1_3T26-2-210413","Glu_9_CA_AADAT"
"CELL380_N2_3T26-2-210413","GABA_12_Cck_HCRTR2"
"CELL1555_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL1806_N1_3T26-2-210413","Glu_10_CA_ALK"
"CELL784_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL736_N1_3T26-2-210413","Glu_3_CA_FREM1"
"CELL1119_N1_3T26-2-210413","Glu_5_CA_SEMA6D"
"CELL449_N1_3T26-2-210413","Glu_13_CA_NDST4"
"CELL290_N2_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL1887_N1_3T26-2-210413","GABA_0_Sst_TRHDE"
"CELL216_N2_3T26-2-210413","Glu_19_CA_HHIP"
"CELL454_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL1411_N1_3T26-2-210413","Glu_5_CA_SEMA6D"
"CELL1129_N1_3T26-2-210413","Glu_5_CA_SEMA6D"
"CELL708_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL957_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL785_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL377_N2_3T26-2-210413","Glu_6_CA_CA2"
"CELL659_N1_3T26-2-210413","GABA_2_Pvalb_PLCL1"
"CELL725_N1_3T26-2-210413","Glu_19_CA_HHIP"
"CELL1068_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL2058_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL935_N1_3T26-2-210413","Glu_17_CA_CPLX3"
"CELL1861_N1_3T26-2-210413","olig_20_olig_olig"
"CELL452_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL1851_N1_3T26-2-210413","astrocyte_7_astrocyte_astrocyte"
"CELL1220_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL928_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL611_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL25_N2_3T26-2-210413","Glu_10_CA_ALK"
"CELL921_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL157_N2_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL653_N1_3T26-2-210413","Glu_13_CA_NDST4"
"CELL161_N2_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL1103_N1_3T26-2-210413","GABA_2_Pvalb_PLCL1"
"CELL1553_N1_3T26-2-210413","olig_20_olig_olig"
"CELL1712_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL227_N2_3T26-2-210413","Glu_17_CA_CPLX3"
"CELL877_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL169_N2_3T26-2-210413","Glu_16_CA_TRPC3"
"CELL154_N2_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL373_N2_3T26-2-210413","Glu_19_CA_HHIP"
"CELL651_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1000_N1_3T26-2-210413","Glu_17_CA_CPLX3"
"CELL1142_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL297_N2_3T26-2-210413","Glu_9_CA_AADAT"
"CELL318_N3_3T26-2-210413","GABA_10_Lamp5_CA8"
"CELL1895_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL1389_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL1374_N1_3T26-2-210413","Glu_16_CA_TRPC3"
"CELL2108_N1_3T26-2-210413","Glu_10_CA_ALK"
"CELL199_N2_3T26-2-210413","Glu_9_CA_AADAT"
"CELL341_N2_3T26-2-210413","GABA_12_Cck_HCRTR2"
"CELL1495_N1_3T26-2-210413","Glu_5_CA_SEMA6D"
"CELL1835_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL1410_N1_3T26-2-210413","Glu_5_CA_SEMA6D"
"CELL1985_N1_3T26-2-210413","GABA_2_Pvalb_PLCL1"
"CELL1023_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL899_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL391_N2_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL2097_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL699_N1_3T26-2-210413","Glu_9_CA_AADAT"
"CELL982_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL786_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL884_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL710_N1_3T26-2-210413","GABA_1_Lamp5_NWD2"
"CELL614_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL55_N2_3T26-2-210413","GABA_2_Pvalb_PLCL1"
"CELL125_N2_3T26-2-210413","GABA_0_Sst_TRHDE"
"CELL631_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL1442_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL1191_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL751_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL801_N1_3T26-2-210413","Glu_13_CA_NDST4"
"CELL1615_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL160_N2_3T26-2-210413","Glu_16_CA_TRPC3"
"CELL2177_N1_3T26-2-210413","Glu_10_CA_ALK"
"CELL1936_N1_3T26-2-210413","Glu_3_CA_FREM1"
"CELL2153_N1_3T26-2-210413","astrocyte_7_astrocyte_astrocyte"
"CELL665_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL1536_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL1693_N1_3T26-2-210413","Glu_13_CA_NDST4"
"CELL1575_N1_3T26-2-210413","GABA_5_Vip_FAT3"
"CELL266_N2_3T26-2-210413","GABA_6_Vip_CBLN2"
"CELL133_N2_3T26-2-210413","GABA_1_Lamp5_NWD2"
"CELL466_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL976_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL166_N2_3T26-2-210413","GABA_0_Sst_TRHDE"
"CELL162_N2_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL1040_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL197_N2_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL971_N1_3T26-2-210413","Glu_0_Dg_PCDH15"
"CELL1997_N1_3T26-2-210413","Glu_7_CA_PRKCG"
"CELL842_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL2142_N1_3T26-2-210413","vas_fib_15_vas_fib_vas_fib"
"CELL1025_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1154_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL1700_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1930_N1_3T26-2-210413","GABA_2_Pvalb_PLCL1"
"CELL1980_N1_3T26-2-210413","astrocyte_7_astrocyte_astrocyte"
"CELL280_N2_3T26-2-210413","GABA_7_Sst_NPY"
"CELL2149_N1_3T26-2-210413","vas_fib_15_vas_fib_vas_fib"
"CELL1531_N1_3T26-2-210413","GABA_5_Vip_FAT3"
"CELL251_N2_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL19_N2_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1944_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL939_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL641_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL865_N1_3T26-2-210413","Glu_10_CA_ALK"
"CELL271_N4_3T26-2-210413","Glu_18_CA_NPNT"
"CELL1402_N1_3T26-2-210413","GABA_4_Cck_CLMP"
"CELL637_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL996_N1_3T26-2-210413","Glu_16_CA_TRPC3"
"CELL322_N2_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL1952_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL102_N2_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL1877_N1_3T26-2-210413","GABA_6_Vip_CBLN2"
"CELL285_N2_3T26-2-210413","Glu_17_CA_CPLX3"
"CELL440_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL986_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL495_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL1064_N1_3T26-2-210413","Glu_17_CA_CPLX3"
"CELL562_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL951_N1_3T26-2-210413","Glu_5_CA_SEMA6D"
"CELL873_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL1338_N1_3T26-2-210413","GABA_3_Pvalb_PDGFC"
"CELL1141_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL321_N2_3T26-2-210413","GABA_1_Lamp5_NWD2"
"CELL1477_N1_3T26-2-210413","Glu_0_Dg_PCDH15"
"CELL2157_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1864_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL268_N2_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL977_N1_3T26-2-210413","Glu_10_CA_ALK"
"CELL333_N2_3T26-2-210413","GABA_0_Sst_TRHDE"
"CELL1240_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL64_N2_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL952_N1_3T26-2-210413","Glu_16_CA_TRPC3"
"CELL1791_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1221_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL1784_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL65_N2_3T26-2-210413","olig_20_olig_olig"
"CELL654_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL527_N1_3T26-2-210413","GABA_2_Pvalb_PLCL1"
"CELL530_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL843_N1_3T26-2-210413","olig_20_olig_olig"
"CELL882_N1_3T26-2-210413","Glu_19_CA_HHIP"
"CELL638_N1_3T26-2-210413","Glu_10_CA_ALK"
"CELL1195_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL1694_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL482_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1993_N1_3T26-2-210413","astrocyte_7_astrocyte_astrocyte"
"CELL1518_N1_3T26-2-210413","GABA_8_Lamp5_NMBR"
"CELL439_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL903_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL777_N1_3T26-2-210413","GABA_11_Pvalb_TRDN"
"CELL606_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL312_N2_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL1645_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL663_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL2124_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL717_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL1441_N1_3T26-2-210413","Glu_9_CA_AADAT"
"CELL2117_N1_3T26-2-210413","astrocyte_7_astrocyte_astrocyte"
"CELL1959_N1_3T26-2-210413","GABA_3_Pvalb_PDGFC"
"CELL89_N2_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL1842_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL814_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL706_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL790_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL1373_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1113_N1_3T26-2-210413","Glu_16_CA_TRPC3"
"CELL1328_N1_3T26-2-210413","Glu_15_CA_ABI3BP"
"CELL2121_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL989_N1_3T26-2-210413","GABA_13_Cck_Phka2"
"CELL1625_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL37_N2_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL1660_N1_3T26-2-210413","Glu_10_CA_ALK"
"CELL1440_N1_3T26-2-210413","Glu_5_CA_SEMA6D"
"CELL1050_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL458_N1_3T26-2-210413","GABA_5_Vip_FAT3"
"CELL1308_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL840_N1_3T26-2-210413","OPC_21_OPC_OPC"
"CELL1796_N1_3T26-2-210413","GABA_0_Sst_TRHDE"
"CELL1049_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL1598_N1_3T26-2-210413","Glu_0_Dg_PCDH15"
"CELL1146_N1_3T26-2-210413","astrocyte_7_astrocyte_astrocyte"
"CELL1899_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL129_N2_3T26-2-210413","Glu_6_CA_CA2"
"CELL572_N1_3T26-2-210413","GABA_4_Cck_CLMP"
"CELL1206_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL1401_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL962_N1_3T26-2-210413","Glu_15_CA_ABI3BP"
"CELL1159_N1_3T26-2-210413","GABA_7_Sst_NPY"
"CELL299_N2_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL1279_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL2023_N1_3T26-2-210413","astrocyte_7_astrocyte_astrocyte"
"CELL615_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL1493_N1_3T26-2-210413","Glu_19_CA_HHIP"
"CELL189_N2_3T26-2-210413","GABA_4_Cck_CLMP"
"CELL421_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL712_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL10_N2_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL1223_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL1955_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL855_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL1301_N1_3T26-2-210413","GABA_9_Pvalb_SNTG2"
"CELL1803_N1_3T26-2-210413","GABA_5_Vip_FAT3"
"CELL1626_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL554_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL111_N2_3T26-2-210413","Glu_10_CA_ALK"
"CELL1579_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL411_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL813_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL2145_N1_3T26-2-210413","GABA_6_Vip_CBLN2"
"CELL981_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL1825_N1_3T26-2-210413","GABA_1_Lamp5_NWD2"
"CELL1753_N1_3T26-2-210413","Glu_16_CA_TRPC3"
"CELL626_N1_3T26-2-210413","Glu_10_CA_ALK"
"CELL1200_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL1067_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL1246_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL1802_N1_3T26-2-210413","olig_20_olig_olig"
"CELL1711_N1_3T26-2-210413","astrocyte_7_astrocyte_astrocyte"
"CELL1901_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL644_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL395_N1_3T26-2-210413","Glu_7_CA_PRKCG"
"CELL1395_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL1030_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL1432_N1_3T26-2-210413","GABA_1_Lamp5_NWD2"
"CELL1751_N1_3T26-2-210413","GABA_5_Vip_FAT3"
"CELL127_N2_3T26-2-210413","Glu_6_CA_CA2"
"CELL871_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL1306_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL230_N2_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL837_N1_3T26-2-210413","Glu_5_CA_SEMA6D"
"CELL1363_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL968_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL1800_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL1929_N1_3T26-2-210413","GABA_0_Sst_TRHDE"
"CELL908_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL707_N1_3T26-2-210413","GABA_4_Cck_CLMP"
"CELL993_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL808_N1_3T26-2-210413","Glu_17_CA_CPLX3"
"CELL150_N2_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL681_N1_3T26-2-210413","Glu_17_CA_CPLX3"
"CELL1831_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1507_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL796_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL1403_N1_3T26-2-210413","GABA_10_Lamp5_CA8"
"CELL1867_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL320_N2_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL936_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL835_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL1600_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL1173_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL1289_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL613_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL1781_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL2110_N1_3T26-2-210413","GABA_0_Sst_TRHDE"
"CELL586_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL1486_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL29_N2_3T26-2-210413","Glu_6_CA_CA2"
"CELL561_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL319_N2_3T26-2-210413","Glu_10_CA_ALK"
"CELL1046_N1_3T26-2-210413","GABA_11_Pvalb_TRDN"
"CELL498_N1_3T26-2-210413","GABA_9_Pvalb_SNTG2"
"CELL1525_N1_3T26-2-210413","GABA_2_Pvalb_PLCL1"
"CELL1233_N1_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL349_N2_3T26-2-210413","GABA_0_Sst_TRHDE"
"CELL719_N1_3T26-2-210413","Glu_9_CA_AADAT"
"CELL103_N2_3T26-2-210413","Glu_6_CA_CA2"
"CELL491_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL1456_N1_3T26-2-210413","Glu_9_CA_AADAT"
"CELL303_N2_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL163_N2_3T26-2-210413","Glu_3_CA_FREM1"
"CELL992_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL1990_N1_3T26-2-210413","GABA_2_Pvalb_PLCL1"
"CELL1168_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL2158_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL170_N2_3T26-2-210413","Glu_16_CA_TRPC3"
"CELL852_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL7_N2_3T26-2-210413","Glu_11_CA_THEMIS"
"CELL1648_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL339_N2_3T26-2-210413","Glu_6_CA_CA2"
"CELL985_N1_3T26-2-210413","Glu_4_CA_GRIA4"
"CELL766_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL1066_N1_3T26-2-210413","Glu_16_CA_TRPC3"
"CELL114_N2_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL811_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL1769_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL136_N2_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL1841_N1_3T26-2-210413","astrocyte_7_astrocyte_astrocyte"
"CELL1291_N1_3T26-2-210413","Glu_3_CA_FREM1"
"CELL1325_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL2190_N1_3T26-2-210413","Glu_1_Dg_PPP3CA"
"CELL404_N1_3T26-2-210413","Glu_2_Dg_AKAP13"
"CELL1824_N1_3T26-2-210413","GABA_0_Sst_TRHDE"
"CELL756_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL664_N1_3T26-2-210413","Glu_18_CA_NPNT"
"CELL570_N1_3T26-2-210413","Glu_7_CA_PRKCG"
"CELL1251_N1_3T26-2-210413","Glu_6_CA_CA2"
"CELL1973_N1_3T26-2-210413","Glu_5_CA_SEMA6D"
"CELL1074_N1_3T26-2-210413","GABA_2_Pvalb_PLCL1"
"CELL2201_N1_3T26-2-210413","astrocyte_7_astrocyte_astrocyte"
"CELL745_N1_3T26-2-210413","Glu_13_CA_NDST4"
"CELL376_N2_3T26-2-210413","Glu_17_CA_CPLX3"
"CELL1085_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL1749_N1_3T26-2-210413","Glu_8_CA_PDE1C"
"CELL1451_N1_3T26-2-210413","GABA_5_Vip_FAT3"
"CELL328_N2_3T26-2-210413","GABA_6_Vip_CBLN2"
"CELL1450_N1_3T26-2-210413","Glu_18_CA_NPNT"
