"","x"
"CELL74_N3_3T26-1-210413","Glu_18_CA_NPNT"
"CELL849_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL806_N1_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL810_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL28_N2_3T26-1-210413","Glu_13_CA_NDST4"
"CELL59_N2_3T26-1-210413","Glu_0_Dg_PCDH15"
"CELL381_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL958_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL540_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL131_N2_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL819_N1_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL889_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL446_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL138_N2_3T26-1-210413","Glu_19_CA_HHIP"
"CELL961_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL101_N3_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL414_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL111_N3_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL134_N2_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL1044_N1_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL1048_N1_3T26-1-210413","Glu_10_CA_ALK"
"CELL605_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL279_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL159_N3_3T26-1-210413","Glu_0_Dg_PCDH15"
"CELL361_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL1426_N1_3T26-1-210413","Glu_9_CA_AADAT"
"CELL30_N2_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL302_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL64_N4_3T26-1-210413","Glu_18_CA_NPNT"
"CELL286_N1_3T26-1-210413","Glu_17_CA_CPLX3"
"CELL263_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL268_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL126_N2_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL589_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL726_N1_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL416_N1_3T26-1-210413","Glu_17_CA_CPLX3"
"CELL891_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL1272_N1_3T26-1-210413","astrocyte_7_astrocyte_astrocyte"
"CELL786_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL63_N2_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL918_N1_3T26-1-210413","GABA_4_Cck_CLMP"
"CELL927_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL319_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL231_N2_3T26-1-210413","Glu_6_CA_CA2"
"CELL720_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL464_N1_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL151_N2_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL1345_N1_3T26-1-210413","Glu_5_CA_SEMA6D"
"CELL478_N1_3T26-1-210413","Glu_10_CA_ALK"
"CELL949_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL102_N2_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL1167_N1_3T26-1-210413","Glu_0_Dg_PCDH15"
"CELL243_N2_3T26-1-210413","Glu_2_Dg_AKAP13"
